settlement_id,date,amount,utr_reference,payer_account,fees_deducted,net_amount,description,currency
STL0033,2026-07-17,6473.56,REF00810747,"Pradhan, Mani and Deshpande",0.0,6473.56,UPI/KKBK4135471169/Settlement for REF00810747 (duplicate credit),INR
STL0004,2026-07-05,61991.0,REF31954663,Bose-Ravel,0.0,61991.0,UPI/HDFC2400280754/Settlement for REF31954663,INR
STL0018,2026-07-11,34799.02,REF79006749,Sura Ltd,0.0,34799.02,UPI/SBIN2370761214/Settlement for REF79006749,INR
STL0020,2026-07-15,7958.82,REF27614035,Wali Inc,187.83,7770.99,UPI/ICIC6468551460/Settlement for REF27614035 after platform fee,INR
STL0011,2026-07-04,68393.14,REF47361853,Mand Ltd,0.0,68393.14,UPI/ICIC7739101303/Settlement for REF47361853,INR
STL0012,2026-07-08,52726.48,REF20069790,Khare-Mahajan,0.0,52726.48,UPI/HDFC1361040711/Settlement for REF20069790,INR
STL0028,2026-07-19,6383.86,REF49957940,Mittal-Chand,0.0,6383.86,UPI partial settlement for REF49957940,INR
STL0035,2026-07-20,-37694.45,REF35714321,Yogi-Peri,0,-37694.45,Chargeback reversal of REF35714321,INR
STL0003,2026-07-13,12303.69,REF37536631,Sibal-Modi,0.0,12303.69,UPI/ICIC1830159750/Settlement for REF37536631,INR
STL0013,2026-07-04,74700.23,REF73898550,Mani LLC,0.0,74700.23,UPI/AXIS3738438085/Settlement for REF73898550,INR
STL0026,2026-07-11,50310.49,REF33629277,Hari-Mahal,0.0,50310.49,UPI/AXIS2056894195/Delayed settlement for REF33629277,INR
STL0001,2026-07-20,60675.63,REF93857083,"Kapadia, Mani and Sunder",0.0,60675.63,UPI/SBIN9798330637/Settlement for REF93857083,INR
STL0009,2026-07-27,62727.43,REF38721245,Bir-Bhasin,0.0,62727.43,UPI/ICIC5335528379/Settlement for REF38721245,INR
STL0010,2026-07-20,6301.94,REF88570345,Mammen and Sons,0.0,6301.94,UPI/SBIN6071677567/Settlement for REF88570345,INR
STL0025,2026-07-07,53910.08,REF6862Q034,Khurana-Singh,0.0,53910.08,UPI/HDFC9083626851/Settlement ref REF6862Q034,INR
STL0031,2026-07-24,35085.29,BULK706050,Bail LLC,0.0,35085.29,Bulk settlement covering 3 invoices,INR
STL0017,2026-07-24,15705.02,REF03095770,Jayaraman-Bandi,0.0,15705.02,UPI/ICIC5025498871/Settlement for REF03095770,INR
STL0034,2026-07-05,79278.96,MISC573271,Chaudhuri-Subramaniam,0.0,79278.96,Unidentified inward transfer,INR
STL0002,2026-07-18,37694.45,REF35714321,Yogi-Peri,0.0,37694.45,UPI/ICIC4363013620/Settlement for REF35714321,INR
STL0005,2026-07-23,71350.52,REF60738150,Parsa-Andra,0.0,71350.52,UPI/HDFC5565116234/Settlement for REF60738150,INR
STL0015,2026-07-07,57132.6,REF51507358,"Joshi, Datta and Shanker",0.0,57132.6,UPI/SBIN1290136735/Settlement for REF51507358,INR
STL0029,2026-07-19,4255.91,REF49957940,Mittal-Chand,0.0,4255.91,UPI partial settlement for REF49957940,INR
STL0022,2026-07-14,68150.1,REF83198058,Srivastava and Sons,0.0,68150.1,UPI/AXIS4199867892/Settlement for REF83198058 (rounding),INR
STL0019,2026-07-06,30035.43,REF00491197,Venkatesh-Bora,708.84,29326.59,UPI/AXIS9650684779/Settlement for REF00491197 after platform fee,INR
STL0030,2026-07-20,8511.83,REF49957940,Mittal-Chand,0.0,8511.83,UPI partial settlement for REF49957940,INR
STL0027,2026-07-21,365677.4,REF03503484,Prashad and Sons,0.0,365677.4,UPI/SBIN5516693603/Settlement for REF03503484 (FX converted),INR
STL0006,2026-07-17,36025.37,REF49206241,Ravel Ltd,0.0,36025.37,UPI/AXIS6443091764/Settlement for REF49206241,INR
STL0021,2026-07-23,53409.06,REF33229372,Gulati PLC,1260.45,52148.61,UPI/ICIC5869425978/Settlement for REF33229372 after platform fee,INR
STL0032,2026-07-17,6473.56,REF00810747,"Pradhan, Mani and Deshpande",0.0,6473.56,UPI/ICIC7226453069/Settlement for REF00810747,INR
STL0024,2026-07-06,4489.92,REF201X8014,Keer-Gandhi,0.0,4489.92,UPI/KKBK3361396772/Settlement ref REF201X8014,INR
STL0008,2026-07-26,1593.63,REF10958719,"Sharma, Dey and Gola",0.0,1593.63,UPI/SBIN5701700086/Settlement for REF10958719,INR
STL0007,2026-07-28,38939.53,REF59727842,"Wali, Ahuja and Chad",0.0,38939.53,UPI/SBIN5624987299/Settlement for REF59727842,INR
STL0014,2026-07-23,34198.89,REF56603813,Dara and Sons,0.0,34198.89,UPI/KKBK1598757003/Settlement for REF56603813,INR
STL0023,2026-07-18,36762.28,REF11079999,Maharaj Group,0.0,36762.28,UPI/AXIS5921404915/Settlement for REF11079999 (rounding),INR
STL0016,2026-07-20,78181.03,REF88544436,Sha LLC,0.0,78181.03,UPI/AXIS6121813851/Settlement for REF88544436,INR
