order_id,invoice_date,expected_amount,customer_name,customer_reference,expected_settlement_date,tax_amount,currency,status
ORD0087,2026-07-25,12718.54,"Sule, Pai and Natarajan",REF04499727,2026-07-27,1940.11,INR,pending
ORD0032,2026-07-03,38910.05,Lalla PLC,REF18244935,2026-07-04,5935.43,INR,settled
ORD0047,2026-07-19,22654.04,Sandal and Sons,REF93676320,2026-07-22,3455.7,INR,settled
ORD0039,2026-07-15,13147.48,D’Alia LLC,REF41458685,2026-07-16,2005.54,INR,settled
ORD0021,2026-07-13,42680.28,Kothari and Sons,REF66701065,2026-07-15,6510.55,INR,settled
ORD0088,2026-07-23,70031.66,Kaur-Roy,REF88675339,2026-07-25,10682.79,INR,pending
ORD0012,2026-07-12,45291.44,Oak-Choudhury,REF97848018,2026-07-13,6908.86,INR,settled
ORD0065,2026-07-21,82462.04,"Majumdar, Anne and Varughese",REF52735454,2026-07-23,12578.95,INR,settled
ORD0026,2026-07-08,40911.54,Grewal Inc,REF09788208,2026-07-09,6240.74,INR,settled
ORD0043,2026-07-14,26470.59,"Mitra, Ravi and Acharya",REF64823662,2026-07-16,4037.88,INR,settled
ORD0006,2026-07-05,56971.19,"Patla, Gaba and Prabhakar",REF34131647,2026-07-06,8690.52,INR,settled
ORD0029,2026-07-07,52797.31,Borah PLC,REF47510799,2026-07-08,8053.82,INR,settled
ORD0057,2026-07-20,12630.85,Nayar-Ravel,REF56464170,2026-07-21,1926.73,INR,settled
ORD0046,2026-07-20,7700.97,"Bora, Shah and Sachdeva",REF43320037,2026-07-23,1174.72,INR,partially_settled
ORD0067,2026-07-25,44448.8,Wali-Padmanabhan,REF14363495,2026-07-26,6780.32,INR,settled
ORD0079,2026-07-19,43235.34,"Baral, Sankaran and Naidu",REF46488771,2026-07-20,6595.22,INR,settled
ORD0072,2026-07-06,69671.52,Swamy-Borah,REF75204711,2026-07-08,10627.85,INR,settled
ORD0053,2026-07-06,12392.1,Kala Inc,REF70546688,2026-07-08,1890.32,INR,settled
ORD0075,2026-07-10,37900.36,Borde and Sons,REF91334123,2026-07-11,5781.41,INR,settled
ORD0027,2026-07-03,12111.93,"Baral, Bumb and Saini",REF91361939,2026-07-05,1847.58,INR,settled
ORD0052,2026-07-06,18484.89,Kala Inc,REF03669096,2026-07-08,2819.72,INR,settled
ORD0084,2026-07-15,4042.23,Loke PLC,REF03859770,2026-07-17,616.61,USD,settled
ORD0058,2026-07-22,19415.65,"Zacharia, Ben and Palla",REF09232719,2026-07-23,2961.7,INR,settled
ORD0025,2026-07-20,82474.43,"Bhat, Murthy and Bhandari",REF87234309,2026-07-22,12580.84,INR,settled
ORD0061,2026-07-04,6711.55,Issac-Borra,REF90586518,2026-07-05,1023.79,INR,settled
ORD0022,2026-07-24,45265.83,Borra Group,REF38726247,2026-07-25,6904.95,INR,settled
ORD0038,2026-07-18,24018.68,"Hans, Rastogi and Narasimhan",REF33754330,2026-07-20,3663.86,INR,settled
ORD0045,2026-07-16,10042.8,Keer Ltd,REF87214895,2026-07-17,1531.95,INR,settled
ORD0001,2026-07-21,4696.1,Sami Inc,REF10433218,2026-07-22,716.35,INR,settled
ORD0019,2026-07-17,15752.06,Zacharia and Sons,REF10518347,2026-07-19,2402.85,INR,settled
ORD0071,2026-07-08,17745.9,"Mane, Singh and Srinivas",REF00842710,2026-07-10,2707.0,INR,settled
ORD0020,2026-07-05,71326.68,Sankar LLC,REF99737631,2026-07-06,10880.34,INR,settled
ORD0078,2026-07-20,58496.67,Dash-Sidhu,REF21024994,2026-07-22,8923.22,INR,settled
ORD0041,2026-07-16,36360.84,"Yohannan, Hegde and Patla",REF16934060,2026-07-18,5546.56,INR,settled
ORD0064,2026-07-23,15417.85,"Dua, Saran and Goda",REF37996507,2026-07-25,2351.87,INR,settled
ORD0077,2026-07-04,30458.7,Dixit LLC,REF13493618,2026-07-06,4646.24,INR,settled
ORD0017,2026-07-09,41877.22,Kar Inc,REF34657871,2026-07-10,6388.05,INR,settled
ORD0030,2026-07-15,20801.13,Dugar-Sarma,REF38425135,2026-07-17,3173.05,INR,settled
ORD0014,2026-07-22,9884.83,"Naik, Suresh and Bahl",REF93252880,2026-07-24,1507.85,INR,settled
